地点,价格,照片,各性描述,屋内情况,不适宜,适宜,房东姓名,房东性别,综合分数,整洁卫生,描述相符,交通位置,安全程度,性价比
北京市朝阳区石门东路,598,33,很喜欢青花这样的文化，从瓷器到壁纸，窗帘，都是青花风，平时喜欢画画，美食，也是一仗文艺，喜欢聚会，喜欢收藏，房间乱七八糟很多有趣的东西，希望认识有意思的人和故事~开车：广渠路石门东路交叉公交唐家村或者水南庄南站地铁7号线百子湾站出来北京站坐地铁到大望路下车坐11路公交唐家村下车机场快线东直门转到建国门在大望路下车坐11路唐家村下车哦公交31路，439路，11路，541路，23路，地铁7号线，地铁1号线，打车方便,【卧室】豪华舒适的大双人床，超舒适高级床垫，皮质高档家具，纯棉高档床品（干净亲肤）【厨房】燃气，前牛排不粘锅，刀叉齐全，红酒杯，醒酒器，热水壶，洋酒杯子，时尚餐具【餐厅】烛台，花瓶，开瓶器，花艺【卫生间】24小时热水洗澡，大喷头超爽淋浴，高档洗发沐浴大瓶免费提供，还有高档浴巾和毛巾呦，洗衣机滚筒自动，吹风机，牙刷免费【客厅】联通无线WIFI，拖鞋，批肩，香氛，3人加1人沙发宽敞，高档电视,停车位饮水设备浴缸允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱暖气有线网络拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟允许聚会,iHOME民宿沿海店,Woman,5分,暂无,暂无,暂无,暂无,暂无
北京市海淀区学清路,418,21,嗨~您好我是丹妮，请您在预览我的房源有意向预订时先和我沟通，您的问题我将一一解答，确保您对房源的交通位置周边环境内部设施都满意的情况下再预订。不接受聚餐入住人数请如实填写。距离当天日期10天后的房子4天起订，只预订1天的房子距离入住日期3天内可定只预订2天的距离入住日期5天内可定，请先沟通再下订单沟通都没有问题清楚没有问题的时候再下订单，不然可能会因为不符合要求需要取消订单，请配合感谢[爱心]房间提供免费做饭(厨具碗筷)但是做完饭需要清理干净厨具碗筷，否则收取深度清洁费50块不接受聚餐入住人数请如实填写，房间提供免费做饭但是做完饭需要清理干净厨具碗筷厨房恢复原样，不然会扣取50元深度保洁费[爱心]。房屋位于海淀区学院路距离最近地铁15号线六道口1.2公里，公交站学知园石板房林大北路东口只需300米，房屋300米内有圣熙八号购物中心，商场美廉美大超市影院Ktv和众多美食可选满足您的蓓蕾，距离房租最近的高校是林大和农大只需700米左右便可步行到达，其次是清华地质北语矿大均在2公里左右，楼下有随手可及的共享单车或者是坐几站公交到达，从公交站可直达鸟巢圆明园。[爱心]此房为整套开间一居室房屋装扮请看网站实拍图片，房屋内部提供双人床沙发茶几饭桌书桌电视独享无线，厨房有厨具炒锅煮锅电饭煲做饭刀具餐具洗洁精，洗手间有24小时热水洗发水沐浴露洗手液洗衣液全自动洗衣机，在洗手间旁边有一间独立橱衣间行李可以放置橱衣间不占用房租使用面积。[爱心]一居室正常入住人数为2人您所看到的价格为2人价格，进入房间人数超过2人将多加20一人，如要过夜需加30一人，我将会为您免费提供床品。[爱心]房屋是智能密码锁安全放心，床上用品每客一换阿姨每客一扫入住时间超过15天将在中途免费清扫一次。[爱心]希望您用几分钟来阅读以上所述，希望我的房子能给您和您的家人朋友提供家一样的温馨舒适，在入住房间期间能像爱惜自己家一样爱惜我的房子，保持房间干净用品无污渍，不然清洗不下需要赔付，如有其他问题请和我沟通，在入住过程中出现任何问题请告知我会及时处理，如住宿满意请您对房屋做出5分高评，再您认可了房屋价格和其他方面确定入住再下订单，希望善意的您不要再认可价格或者其他之后给出差评或者中评。300米到达3个公交站牌内，楼下随手可及的共享单车骑行不到5分钟到达距离1公里的15号线六道口，公交直达鸟巢清北北医三院等,个性鹿系森林风，宽敞而采光好；配备实木双人床，精品床品，沙发，衣柜，书桌，餐桌等等家具；配备台灯，空调，电视机，网络电视盒，冰箱，洗衣机，吹风机等等家电。,停车位浴缸有线网络牙具毛巾允许聚会适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱饮水设备暖气拖鞋手纸浴液 洗发水香皂允许做饭允许吸烟允许带宠物,a丹妮的家,Woman,4.9分,暂无,暂无,暂无,暂无,暂无
北京市海淀区蓟门桥和景园小区,598,25,"怀装着梦想，享受这个城市的慷慨，也承受着时浓时淡的乡愁。我尊重每一个装着梦想的心，无论它是在期盼旅行、学业有成还是一次充满诱惑的工作机会，天下家,皆为爱而聚。因爱成”家“！在这北京的家里也让你感觉到和自己家里一样的亲切！你将接触一个热情、爱分享和热爱音乐的大男生，让我们一起感受首都的古色古韵和悠久的历史文化！建筑设计内部空间宽敞，居住舒适。之前也是按照自住的豪华标准装修的，设施设备齐全，也是格外爱惜。对即将入住的您也有一点点要求:1、一定要爱惜房子，希望您是喜欢家里的风格才来入住，不要破坏家里的任何家具和设施，保持屋子的干净整洁。相信您也是一个热爱生活的人；2、入住之后请不要大声喧哗，不要影响左右邻居休息；3、临走时请将自己的垃圾带走、方便下个住户入住；城铁路线：位于知春路城铁（10号线、13号线）换乘站15分钟，西土城地铁站5分钟，大钟寺地铁5分钟左右，地理位置非常有优势，交通四通八达，蓟门桥-公交站途经公交车：21路80路84路94路304路375路375区间392路438路498路617路632路658路693路机场大巴公主坟线机场大巴公主坟夜班线夜14路运通103线，北三环主路300路",房子是两室的、小区的算知春路和西土城附近比较好的社区、室内设施齐全、户型的设计和现代的装修风格给人一种舒适和感。沙发、液晶电视、百兆光纤无限WIFI全覆盖、全自动洗衣机、空调、微波炉、做饭设备等应有尽有、完全出门在外感觉回到自己的家里一样舒适、有电梯、小区24小时保安电梯、热水、淋浴。这里，不但是你商务出行，短期驻留的不二之选，更是您居家旅游、休闲度假的理想选择！还是你爱情升华友情升温的最佳殿堂哦！,停车位浴缸有线网络牙具毛巾允许吸烟允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱饮水设备暖气拖鞋手纸浴液 洗发水香皂允许做饭,一路在囧途,Man,5分,暂无,暂无,暂无,暂无,暂无
北京市海淀区清华东路,488,28,嗨~您好我是丹妮，请您在预览我的房源有意向预订时先和我沟通，您的问题我将一一解答，确保您对房源的交通位置周边环境内部设施都满意的情况下再预订。不接受聚餐入住人数请如实填写。距离当天日期10天后的房子4天起订，只预订1天的房子距离入住日期3天内可定只预订2天的距离入住日期5天内可定，请先沟通再下订单沟通都没有问题清楚没有问题的时候再下订单，不然可能会因为不符合要求需要取消订单，请配合感谢[爱心]房间提供免费做饭(厨具碗筷调料)但是做完饭需要清理干净厨具碗筷，否则收取深度深度清洁费不接受聚餐入住人数请如实填写房间提供免费做饭但是做完饭需要清理干净厨具碗筷厨房恢复原样，不然会扣取50元深度保洁费[爱心]此房为整套2居室房屋装扮请看网站实拍图片，房屋内部提供双人床沙发茶几饭桌书桌电视独享无线，厨房有厨具炒锅煮锅电饭煲做饭刀具餐具油盐酱醋洗洁精，洗手间有24小时热水洗发水沐浴露洗手液洗衣液全自动洗衣机，在洗手间旁边有一间独立橱衣间行李可以放置橱衣间不占用房租使用面积。[爱心]2居室正常入住人数为4人您所看到的价格为4人价格，进入房间人数超过2人将多加20一人，如要过夜需加30一人，我将会为您免费提供床品。[爱心]房屋是智能密码锁安全放心，床上用品每客一换阿姨每客一扫入住时间超过15天将在中途免费清扫一次。[爱心]希望您用几分钟来阅读以上所述，希望我的房子能给您和您的家人朋友提供家一样的温馨舒适，在入住房间期间能像爱惜自己家一样爱惜我的房子，保持房间干净用品无污渍，不然清洗不下需要赔付，如有其他问题请和我沟通，在入住过程中出现任何问题请告知我会及时处理，如住宿满意请您对房屋做出5分高评，再您认可了房屋价格和其他方面确定入住再下订单，希望善意的您不要再认可价格或者其他之后给出差评或者中评。房屋位于海淀区清华东路距离最近地铁15号线六道口200多米，公交站六道口学院路北口只需300米，房屋500米处有圣熙八号购物中心，商场美廉美大超市影院Ktv和众多美食可选满足您的蓓蕾，步行1.2公里将到达北京的宇宙中心五道口，这里有五道口购物中心，华联超市影院酒吧各种美食美女帅哥~距离房租最近的高校是矿大只需200米，其次林大和农大北语地质只需700米左右便可步行到达，步行清华只需1.6公里楼下有随手可及的共享单车或者是坐几站公交到达，从公交站可直达鸟巢圆明园。,房间内部民族风情装饰风格，有鲜花绿植挂画，感觉清新舒适并且配置有书桌沙发茶几20多平米的房间还有一个大阳台~次卧主要由蓝色壁纸个性挂画外加一点鲜花点缀整体也很舒适吆也配置有书桌。,电梯停车位浴缸有线网络牙具毛巾允许聚会适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视门禁系统洗衣机冰箱饮水设备暖气拖鞋手纸浴液 洗发水香皂允许做饭允许吸烟允许带宠物,a丹妮的家,Woman,5分,5分,5分,5分,5分,5分
OK安然OK,ArchitectD,刹澜,永阿童木,科萌爱学习,7灰枣儿,烙饼自己做饭,爱它痴狂,y2随遇而安,jj58hh,天雪潇,LUEy72,Marblekg,研究皮卡丘,独舞苍穹,郑炜杰,刘雯赫,12牛爷,甜的呀
入住时间：2019年04月挺宽敞的。,入住时间：2019年04月挺温馨的小屋。如果有毛巾和卷纸就更好了。卫生间地漏下水慢，床垫上没有褥子，弹簧硬。,入住时间：2018年12月很温馨舒适的房子，个人很喜欢位置也不错，房东小姐姐很有耐心房东回复:哈哈，很有礼貌的姑娘，期待再次合作哈,入住时间：2018年12月环境非常好，卫生也非常干净房东回复:感谢您的认可哈，期待再次合作,入住时间：2018年11月住得很舒服房东回复:感谢您的支持，欢迎再来奥,入住时间：2018年10月很棒棒，家人来北京旅游住了两晚。环境可以，很幽静。家里干净整洁，收拾的挺好的。老板人很好。着急没有拍照片。房东回复:感谢您的支持与肯定，欢迎再来哈,入住时间：2018年10月好好好。很好的地方。房东回复:感谢您对丹妮家支持，欢迎再来哈,入住时间：2018年09月体验很好的一次房东回复:灰常灰常好沟通哦超级有礼貌有素质~感谢选择我的房源并喜欢，一定要再来哦，,入住时间：2018年08月屋子很温馨，也很干净，可以自己做饭吃，非常方便。房东回复:很好沟通的姐姐房间入住完依然干净欢迎再来,入住时间：2018年07月房东人很好，想去长城但是天气不好，还提醒我下雨天最好不去长城，推荐我去了故宫！出行也挺方便的，打车也不算贵因为是带老人来玩，所以出门都一般打车了房东回复:灰常好沟通哦有礼貌入住完的房间依然干净欢迎再来吆特价机场20分钟/地铁直达国展望京温馨一居室>,入住时间：2019年05月安静好住，很好五道口步行数所高校直达鸟巢圆明园现代风一居>,入住时间：2019年05月确实不错，卫生也整洁，性价比比较高，很宽敞。房东回复:欢迎再来哈五道口步行数所高校直达鸟巢圆明园现代风一居>,入住时间：2019年05月整个体验很不错，房东人很好，解答问题也很快。做饭什么都没有问题，周围有超市，都很方便！房东回复:欢迎再来哈六道口步行数所高校旁鸟巢圆明园舒适一居>,入住时间：2019年05月房子基本和图片相同，很舒服的一居室，离清北都不远，附近就有商场，生活非常便利~一个人住了一周，感觉也非常安全~下次还有机会来北京的话还会考虑定这家的~特价机场20分钟/地铁直达国展望京欧式公寓②>,入住时间：2019年05月很不错，安静，温馨，交通也算便利，房东美女也很有耐心，一一解答问题，很不错的一次体验房东回复:很好，欢迎再来邮轮中心东渡路靠山靠海优美典雅三居室>,入住时间：2019年05月环境很好，房间床铺也大里面设备也是很齐全的，值得推荐五道口步行数所高校直达鸟巢圆明园欧式一居室>,入住时间：2019年04月特价的时候定的，离第二天上班的地方超近，房屋很舒适，条件很好，衣柜里面有很多被子，是一次不错的体验，下次还会再来五道口步行数所高校直达鸟巢圆明园欧式一居室>,入住时间：2019年04月洗浴的喷头不好联系换个，洗澡时皮肤有划伤房东回复:好咧没问题这就更换五道口步行数所高校直达鸟巢圆明园欧式一居室>,入住时间：2019年04月灰常棒房东人好房子也不错房东回复:╰╮感谢入住感谢对于房子的认可和喜爱欢迎再来吆地铁200米步行人大近清华北大圆明园颐和园>
北京市朝阳区望京东园109号楼,798,24,您将结识一群有梦想爱打拼的年轻人，这里大多数是一些科技公司和互联网公司的年轻人和一群创业者、极客。在这里您不仅有温馨的环境可以居住，还有一群志同道合会玩懂生活的小伙伴一起交流思想，碰撞灵感。欢迎来到属于你的驿动空间！【地铁】最近的地铁站是望京东地铁站C东南口，距离598米，步行8分钟【公交】快速直达专线8路，融科橄榄城公交站，322米，步行5分钟【加油站】中国石化望京新城奥顺加油站，距离1.5公里，驾车6分钟【停车场】小区周边马路边可以免费停车，有车位【机场】距离北京首都国际机场17公里，驾车行驶20分钟到达，机场高速，打车约50元,Hello～如您所见，这套公寓是一个整套两室一厅一厨一卫的公寓，我爱这里的每个细节，因为都是我费劲心思设计的FlyingCloud主题公寓，这里光线特别好，视野开阔，摆设又吸引人，非常适合家庭出行，情侣出行，朋友聚会，商务办公！这里空间足够大，可以最多住6人哦，如果你是一家三口带着父母来北京玩或者几个朋友的聚会和旅行，出差，选择这里最最适合不过，性价比绝对超高哦！这里有两张超大的1.8*2米的双人床，床垫是德国进口的五星级豪华床垫，特别舒服；还有一张宜家高档1.5*2米的沙发双人床，人多或者想要自己睡一张床可以用，不需要扶起来就是沙发，非常舒适，坐在这里可以观看电视。【良心品质和我们的价值观】我们请的是五星级服务的保洁做常规打扫，干净整洁，绝对保证床上用品都是一客一换哦！我是我们对保洁的硬指标！【房源特点】1.性价比超高，最多可住6人。2.可看有限电视，浪漫温馨。3.小区在望京SOHO对面，是一个新建的社区，环境非常棒！出小区就是新荟城购物商场，一层是生活超市，二层三层是服装，四层五层是美食，六层是电影院，生活超级便利。4.这套房子特别为有宝宝的家庭打造，次卧是飞屋环游记主题，客厅可以还有一个供宝宝嬉戏玩耍的帐篷，并配备了可爱的抱枕。房源描述FlyingCloud主题公寓，浪漫至极，很多拍电视剧，做直播的节目组租用这套公寓拍摄，当然能被各个节目组看上，也是我的荣幸！难得出门，就应该住上美的如梦如仙的房子里，这是我设计的第6套梦幻美丽的民宿，我要继续设计，让更多的驴友享受美妙的空间，大爱我的工作！,适宜儿童适宜老人适宜残疾人浴缸,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气有线网络拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟允许聚会允许带宠物,驿动空间,Woman,4.9分,暂无,暂无,暂无,暂无,暂无
北京市房山区拱辰街道时代广场,278,22,"房东本人从事创维电器事业,地道北京人,热情好客,为人直爽.自己出去旅行出差都喜欢住民宿,也希望把这种方便带给来旅游的朋友和大学城周边的老师和同学们.紧邻地铁房山线(理工大学站),距离北京西站40分钟.周边公交房34,896,环城1.大学城附近,享受所有配套设施.","房间为32平米loft,落地窗，全部为房东精心设计,温馨浪漫,特别合适体验生活的朋友来住.房间各种电器应俱全,可以做饭,让你小试身手!小区配套设施非常全面,24小时保安,免费停车!",浴缸有线网络允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟,梅子0529,Woman,4.7分,暂无,暂无,暂无,暂无,暂无
北京市朝阳区沿海赛洛城,420,23,第一次做民宿，沉醉于软装设计我把梦想的生活方式揉进这里，大到家具家电，小到餐具饰品，都是精挑细选希望我精心布置的房间能带给你家的感觉，减少对这个城市初来乍到的陌生感～当然，这里并不完美，您遇到任何问题请随时跟我沟通，我会尽力为您解决希望您是愿意沟通，善良礼貌的人，习惯中差评的我们一律不接待感谢您对房子的喜欢，这是我们继续努力的动力～您可能关心的问题【关于卫生】：卫生是重中之重，房间每客一扫，床品每客一换，如果入住期间需要打扫收取50元清洁费。【图片真实性】：房子经过网站工作人员验真，照片为网站摄影师实拍，所见即所得【如何预定】：我们会及时更新房态信息，房间在可预定状态下都有房，欢迎自助下单，房子是密码锁，入住之前，我会把房间具体地址和密码发给您～【关于押金】：由网站代收押金500元，退房后保洁打扫完毕将押金原路返回【关于优惠】：日租价格已是最低，不议价，7天以上订单95折，30天以上9折【入住人数】：最多4人！！【入住及退房时间】：正常入住时间为下午2点，退房时间中午12点，如果您需要提前入住或延迟退房，请务必提前与我沟通【关于停车】：小区有地面收费停车场，车位充足【能否提前看房】：房东距离房源所在位置较远，且图片及房源描述经由网站审核通过，所见即所得，不支持提前看房【商业拍摄】：欢迎商业拍摄，但会根据入内人数和拍摄性质收取一定额外费用，如需详细了解请私信咨询。如有发现未经通知的情况下擅自进行商业拍摄，恕将您立即请出。【关于聚会】：禁止聚会【开具发票】：如需发票，可在预定时选择需要发票，平台收取相应税点【其他费用】：在您遵守房屋守则的情况下，无任何加收费用，请您放心北京的地铁线路如同蜘蛛网般交叉，地铁没有堵车的烦恼，离地铁近就是王道～赛洛城小区到地铁口步行距离600米～地铁直达欢乐谷，天坛，前门大街，北京西站到天安门等景区10公里以内～,北京著名的网红社区，住着很多时髦人儿，距离7号线百子湾地铁步行700米，小区配套设施完善，每个单元都有保安，居住安全，有电梯，密码锁出入很方便～loft户型，为了满足更多人入住的需求，楼上楼下分别放了一张双人床，2.4米超级大被子，房主精心挑选的高密度面料床品保证一客一换房间主灯是散发温和暖光的羽毛灯，房主担心亮度不够，添加了很多小彩灯和落地灯，这样的点光源不刺眼，更舒服，而且拍照巨好看，照出你颜值的巅峰~【厨房】提供全套厨具及精美餐具，免费的调料和大米，快来大展厨艺别忘了晒图哦~【洗手间】高档厚实的毛巾浴巾，大功率吹风机，洗浴用品，一次性洗漱用品，卸妆棉，拖鞋，洗衣液，消毒液，房主能想到的都准备了，欢迎补充除此之外，空调，微波炉，冰箱，全自动洗衣机，wifi，24小时热水，也应有尽有哦,浴缸有线网络允许吸烟允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭,小马佳佳,Woman,4.9分,暂无,暂无,暂无,暂无,暂无
北京市朝阳区百子湾 沿海赛洛城,448,29,Hi~我是一个偏爱白色的人，我向往房间里有大大的落地窗，我向往房间里的每样东西，都是美好且有故事的，作为宅女，家就是让我最舒服，最安全的地方。小白是人见人爱的房子，我也付出了很多很多，才有了今天的家，所以希望你也和我一样，能在这里感受幸福。开车：广渠路石门东路交叉，公交：唐家村或者水南庄南站；地铁：7号线，百子湾站出来，北京站坐地铁到大望路下车，坐11路公交唐家村下车；机场快线东直门转到建国门在大望路下车，坐11路唐家村下车哦，公交31路，439路，11路，541路，23路，地铁7号线，地铁1号线，打车方便。,房间配有舒适的大双人床、高级床垫、皮质家具等。可以做饭啦，红酒杯、醒酒器、、好看的碗，萌萌哒。24小时热水洗澡、无线WIFI，还有高档浴巾和毛巾呦。超帅设计风格，各种拍照自拍美美哒。毛巾、牙刷、沐浴洗发、吹风机、拖鞋都有都有哒。很舒服的床垫！很舒服的床品！都是精心挑选啦。,浴缸允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气有线网络拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟,iHOME民宿沿海店,Woman,4.9分,暂无,暂无,暂无,暂无,暂无
北京市朝阳区百子湾 沿海赛洛城,398,27,一个充满异域色彩的体验，真正不同的房子，享受这慵懒的氛围。绝对爱上这种简单快乐的生活哲学。挑空4米，宽敞空间！开车：广渠路石门东路交叉公交唐家村或者水南庄南站地铁7号线百子湾站出来北京站坐地铁到大望路下车坐11路公交唐家村下车机场快线东直门转到建国门在大望路下车坐11路唐家村下车哦,【卧室】豪华舒适的大双人床，超舒适高级床垫，真丝高档家具，高档床品（干净安全）【厨房】刀叉齐全，红酒杯，醒酒器，热水壶，洋酒杯子，时尚餐具【餐厅】烛台，花瓶，开瓶器，花艺【卫生间】24小时热水洗澡，大喷头超爽淋浴，高档洗发沐浴大瓶免费提供，还有高档浴巾和毛巾呦，洗衣机滚筒自动，吹风机，牙刷免费无线WIFI，拖鞋，批肩，香氛，沙发宽敞，高档电视,停车位浴缸允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱饮水设备暖气有线网络拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟,iHOME民宿沿海店,Woman,4.8分,暂无,暂无,暂无,暂无,暂无
北京市朝阳区和平街,638,34,需要开发票的朋友，一定要线上支付百分百定金~中国那么大，这就是您在北京的家。您将入住的房间，是有着波西米亚风情的精装两居室，推开门的一瞬间，将感受到我们为您准备满满的诚意与惊喜。只要您入住便可体验到，不将就的旅居生活，将成为您在北京的独家记忆，爱上这个城市，爱上这种旅行方式！！房主系爱吃爱玩爱造的北京大妞一枚，性格飒爽，有共同爱好的小伙伴们速来！其次我强调下本人为北京土著，性格直爽，仗义。不喜欢拐弯抹角。有事儿您说话~出门在外最注重一个沟通。我一直相信与人方便且与己方便。所以在此强调，本人不接受没事找茬的差评~房间位于北三环内侧三环辅路边上，所以有两道防盗门，安全大可放心~而且交通非常便利。出门就可以直接上京承高速，东边是地铁13号线光熙门站，西边是地铁5号线和平西桥站。,北欧简约与波西米亚风情的完美结合~南北通透的两居房间内配有羽绒舒适大沙发，完全可以极速消除旅行的疲劳。北边的小房间的单人床柔软舒适。中间过道的榻榻米相对硬点，适合老年人，南边大卧室的公主床比较适合喜欢浪漫的小两口~与此同时，房间一共有三台空调，两个电视，每个房间还配有超多储物功能的大立柜，百兆wifi，如果喜欢做饭厨房还配有各种刀具，餐具及锅具。最后说下卫生间，干湿两用的装修设计配有各种洗漱用品极其洗涤用品,浴缸有线网络允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟,美丽心情0a,Woman,5分,暂无,暂无,暂无,暂无,暂无
北京市朝阳区时代国际嘉苑1号楼,388,18,"我想把它做成一个少女天堂里面作用了各种少女色马卡龙海洋球还有粉红色的木马相信你一定会喜欢周边配备齐全富力广场乐城中心楼下就有24小时便利店门口有工商银行光大银行拐角处有药房和大型水果店满足生活一切需求楼下很多好吃的店想知道具体位置可以问我哈附近有朝阳图书馆今日美术馆世界知名艺术家的聚集地,看不完的展览还有紫禁书院和北京歌舞剧院10分钟路程非常浓郁的文化气息毗邻国贸的高档小区出入多是高级白领和外国友人素质都非常高门口24小时保安站岗行人出入需刷卡安全又保证",简约北欧风格*极米投影仪一直想在自己房子里做个投影仪抱着西瓜或者小龙虾边吃边看这样慵懒的日子我能过一个世纪*免费光纤高速WIFI*休闲吧台冰箱放有冻好的冰块在烈日下跑了一天回来以后来杯冰水或者威士忌岂不是美滋滋*卫生间我们配备的有牙刷和毛巾拖鞋沐浴洗发护发洗手液洗衣液但出于卫生考虑还请自备浴巾*厨房有热水壶微波炉盘子餐具煎锅煮锅都可免费使用*房间内放了雨伞便签纸和笔方便商务人士使用请不要丢失至于床我刻意在床上多加了一个10cm的床垫就是希望你们在跑了一天以后有最舒心的睡眠,电梯停车位浴缸有线网络香皂允许聚会适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视门禁系统洗衣机冰箱饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水允许做饭允许吸烟允许带宠物,咆哮的小二二,Woman,4.7分,暂无,暂无,暂无,暂无,暂无
北京市房山区良乡,278,29,"房东本人从事创维电器事业,地道北京人,热情好客,为人直爽.自己出去旅行出差都喜欢住民宿,也希望把这种方便带给来旅游的朋友和大学城周边的老师和同学们.紧邻地铁房山线（良乡大学城站）,距离北京西站40分钟，距离理工大学，社科院近3.4百米。周边公交房34,896,环城1.大学城附近,享受所有配套设施.",房间为31平米loft，房东精心设计，所有的家具家电都是我自己挑选安装的，运动健身，喝茶小憩，温馨浪漫，特别合适体验生活的朋友来住。房间各种，电器应俱全，可以做饭，让你小试身手！小区配套设施非常全面，24小时保安，免费停车！小区环境清幽，绿化很好，特别安静，这里的一钩一画，一桌一椅，都是我亲自挑选、亲自安装，我的用心，望你住着舒心。公寓楼下就有生活的必需品，超市、银行一应俱全，有几家餐厅味道很不错，我自己和孩子也是那里的常客，旁边即是理工大学，无论您是朋友来聚，还是家人来探亲，都是您的不二选择。,浴缸有线网络允许聚会允许带宠物适宜儿童适宜老人适宜残疾人,热水淋浴无线网络空调电视电梯门禁系统洗衣机冰箱停车位饮水设备暖气拖鞋手纸牙具毛巾浴液 洗发水香皂允许做饭允许吸烟,梅子0529,Woman,4.9分,5分,4.8分,4.8分,4.9分,4.8分
chendefu1208,陈汛,跳啊1f,chennnz,傅先生123,Zyvw,uuNIU牛,sukie果,ccalvinwu,xz_103504****r8s2a,花开若相惜6n,葱爆海参,zynaaaa,蓝_图,Asbefo0e,简单,刘佳敏耶,naomi338
